date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
20231205,300750,160.15,158.81,162.37,158.65,248077.0,3978910664.0,2.3,-1.76,-2.84,0.64
20231206,300750,158.65,162.88,166.86,158.22,367693.0,6024339619.0,5.44,2.56,4.07,0.94
20231207,300750,162.0,164.49,166.36,161.6,269084.0,4410841808.0,2.92,0.99,1.61,0.69
20231208,300750,165.0,163.59,166.33,163.12,245020.0,4030383346.0,1.95,-0.55,-0.9,0.63
20231211,300750,162.01,165.35,165.69,160.16,214896.0,3497265739.0,3.38,1.08,1.76,0.55
20231212,300750,164.0,163.63,165.22,162.98,147339.0,2415527908.0,1.35,-1.04,-1.72,0.38
20231213,300750,162.55,159.35,163.59,158.71,252594.0,4045085653.0,2.98,-2.62,-4.28,0.65
20231214,300750,160.88,156.63,161.49,156.44,227514.0,3596263195.0,3.17,-1.71,-2.72,0.58
20231215,300750,157.2,155.0,158.68,154.6,202046.0,3158101585.0,2.6,-1.04,-1.63,0.52
20231218,300750,153.11,146.97,153.69,146.28,429129.0,6398809829.0,4.78,-5.18,-8.03,1.1
20231219,300750,146.31,149.0,149.98,146.27,251852.0,3734066912.0,2.52,1.38,2.03,0.65
20231220,300750,149.2,148.45,151.2,148.32,212494.0,3174602188.0,1.93,-0.37,-0.55,0.55
20231221,300750,147.57,154.39,155.33,147.57,421315.0,6433383992.0,5.23,4.0,5.94,1.08
20231222,300750,153.5,156.29,158.41,152.2,280321.0,4359921761.0,4.02,1.23,1.9,0.72
20231225,300750,155.5,157.54,157.88,154.8,130056.0,2036117775.0,1.97,0.8,1.25,0.33
20231226,300750,156.97,156.13,157.5,154.74,127673.0,1994477782.0,1.75,-0.9,-1.41,0.33
20231227,300750,157.53,154.33,158.0,153.87,173565.0,2686313989.0,2.65,-1.15,-1.8,0.45
20231228,300750,154.22,162.99,163.16,153.57,378502.0,6079407754.0,6.21,5.61,8.66,0.97
20231229,300750,163.98,163.26,165.0,162.0,226838.0,3707101874.0,1.84,0.17,0.27,0.58
20240102,300750,162.22,156.83,162.53,156.62,214033.0,3390080350.0,3.62,-3.94,-6.43,0.55
20240103,300750,156.1,155.8,157.28,154.4,197576.0,3070016674.0,1.84,-0.66,-1.03,0.51
20240104,300750,155.5,151.2,155.72,149.77,272418.0,4114835334.0,3.82,-2.95,-4.6,0.7
20240105,300750,150.99,150.9,154.73,149.49,210353.0,3195235676.0,3.47,-0.2,-0.3,0.54
20240108,300750,150.2,150.0,153.39,149.08,193854.0,2926528361.0,2.86,-0.6,-0.9,0.5
20240109,300750,149.96,148.7,151.37,145.75,233916.0,3473507460.0,3.75,-0.87,-1.3,0.6
20240110,300750,146.94,150.66,153.11,146.55,232120.0,3500326619.0,4.41,1.32,1.96,0.6
20240111,300750,150.66,154.82,157.77,148.51,328018.0,5037065544.0,6.15,2.76,4.16,0.84
20240112,300750,154.0,154.63,157.33,152.2,254622.0,3943737150.0,3.31,-0.12,-0.19,0.65
20240115,300750,153.5,151.7,153.7,149.35,172722.0,2618158007.0,2.81,-1.89,-2.93,0.44
20240116,300750,151.66,156.95,157.25,150.56,284693.0,4421625828.0,4.41,3.46,5.25,0.73
20240117,300750,156.86,152.24,156.86,151.75,217615.0,3343384131.0,3.26,-3.0,-4.71,0.56
20240118,300750,150.1,154.61,155.2,150.01,307788.0,4688436698.0,3.41,1.56,2.37,0.79
20240119,300750,153.8,154.9,157.89,153.4,265949.0,4136034233.0,2.9,0.19,0.29,0.68
20240122,300750,153.5,155.66,159.95,150.65,404888.0,6323471152.0,6.0,0.49,0.76,1.04
20240123,300750,155.0,153.91,158.8,153.19,323059.0,5033058276.0,3.6,-1.12,-1.75,0.83
20240124,300750,154.5,153.48,154.99,149.51,248710.0,3776131708.0,3.56,-0.28,-0.43,0.64
20240125,300750,152.0,155.0,155.1,149.71,294796.0,4503492567.0,3.51,0.99,1.52,0.76
20240126,300750,152.5,150.0,154.48,150.0,271813.0,4118576147.0,2.89,-3.23,-5.0,0.7
20240129,300750,149.44,147.02,150.78,147.02,217675.0,3235910042.0,2.51,-1.99,-2.98,0.56
20240130,300750,145.5,140.75,147.44,140.4,327274.0,4680164654.0,4.79,-4.26,-6.27,0.84
20240131,300750,145.0,151.59,152.96,144.0,595221.0,8943013792.0,6.37,7.7,10.84,1.53
20240201,300750,151.58,149.02,152.52,148.58,279688.0,4197978843.0,2.6,-1.7,-2.57,0.72
20240202,300750,148.0,146.0,149.0,143.37,307060.0,4494266567.0,3.78,-2.03,-3.02,0.79
20240205,300750,142.61,151.94,154.5,142.3,471326.0,7035622773.0,8.36,4.07,5.94,1.21
20240206,300750,151.19,158.33,159.26,150.82,437459.0,6828296924.0,5.55,4.21,6.39,1.12
20240207,300750,158.0,159.6,159.79,156.0,366070.0,5800699416.0,2.39,0.8,1.27,0.94
20240208,300750,159.5,162.84,165.0,158.88,309012.0,5016344779.0,3.83,2.03,3.24,0.79
20240219,300750,164.96,160.09,164.96,159.09,270925.0,4355156562.0,3.6,-1.69,-2.75,0.7
20240220,300750,161.88,158.33,161.88,156.07,221948.0,3506366283.0,3.63,-1.1,-1.76,0.57
20240221,300750,157.38,161.2,163.3,156.34,257827.0,4135575623.0,4.4,1.81,2.87,0.66
20240222,300750,161.33,160.35,161.33,158.88,209559.0,3349275886.0,1.52,-0.53,-0.85,0.54
20240223,300750,161.97,160.5,162.0,159.06,210176.0,3368773226.0,1.83,0.09,0.15,0.54
20240226,300750,159.23,156.0,159.99,154.7,360664.0,5638931754.0,3.3,-2.8,-4.5,0.93
20240227,300750,155.08,157.83,157.85,154.54,290401.0,4531078101.0,2.12,1.17,1.83,0.75
20240228,300750,158.18,157.01,163.3,157.01,400917.0,6423464926.0,3.99,-0.52,-0.82,1.03
20240229,300750,156.1,163.51,163.77,155.66,391675.0,6315294345.0,5.17,4.14,6.5,1.01
20240301,300750,163.53,164.55,165.56,162.4,281013.0,4610970231.0,1.93,0.64,1.04,0.72
20240304,300750,165.0,163.9,167.86,162.77,268086.0,4424835389.0,3.09,-0.4,-0.65,0.69
